,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
827,2.4165194876792233,3.7376696182833684,0,4,5,2,HND
837,2.681641062790814,4.703506086406838,1,2,2,2,HND
841,3.555994138451025,4.771894545605621,1,1,2,2,HND
845,3.7638286348524845,4.694401319411156,0,3,3,1,GT
860,,1.3217558399823195,0,4,2,1,GT
861,1.6508327028754455,2.211017899468555,1,1,5,3,GT
873,0.2928384056868447,1.62924053973028,0,4,1,3,HND
880,,1.3217558399823195,0,3,5,2,GT
881,2.0461572132757784,1.745239453545543,0,3,2,2,GT
883,2.8817384871162584,2.974070776699819,1,2,5,2,GT
892,2.7290599100396444,3.139832617527748,1,2,2,2,GT
896,2.548795663166066,3.4446824934955114,0,3,3,2,GT
897,,1.1631508098056809,1,2,2,2,HND
911,1.8088448460491695,3.068052935133617,0,3,5,2,HND
914,1.3589033028726674,2.9137084380754,1,3,3,1,HND
917,1.6906382144520793,2.786773357319766,1,4,2,1,HND
920,3.546384580682379,3.970291913552122,0,2,2,1,GT
932,3.7637457101263423,3.8592248198912955,0,3,5,2,GT
935,4.341169222859775,4.992131822531696,1,2,4,2,GT
937,4.093568260978247,3.8394523125933104,0,4,5,1,GT
938,,0.9444616086741848,0,2,5,3,GT
939,4.17448868013806,4.422848629154137,1,2,2,3,GT
945,4.005518594403364,3.970291913552122,0,3,5,3,GT
947,3.546384580682379,3.64133850927003,1,2,3,3,GT
986,,1.041453874710514,1,3,5,3,SLV
991,2.054367293775971,3.7376696182833684,0,4,5,1,HND
994,1.4818204267101112,3.3440389677045594,0,4,5,1,HND
996,2.489320851183274,4.497956101643837,0,3,2,2,HND
1002,,1.5404450410185773,0,3,4,2,HND
1012,2.416168210216218,3.3440389677045594,0,2,5,2,HND
1016,6.478509642208569,4.875197323201151,0,1,2,2,SLV
1027,,1.041453874710514,1,2,4,2,SLV
1028,6.398594934535208,5.017279836814924,0,3,5,2,SLV
1045,,1.3217558399823195,0,3,5,2,HND
1046,,1.1631508098056809,0,3,5,2,HND
1047,,1.1631508098056809,0,4,5,2,HND
1048,2.8906356119725047,4.639571612705423,0,4,5,1,HND
1052,,1.3217558399823195,1,4,5,2,HND
1057,0.41220401723511063,1.404870746692826,0,3,5,2,HND
1058,1.6584542415025139,3.560098664342798,1,2,4,2,HND
1063,2.416168210216218,3.3440389677045594,1,2,5,2,HND
1065,,1.3217558399823195,1,2,4,2,SLV
1073,6.2166061010848646,4.61512051684126,0,2,5,2,SLV
1079,,,0,2,1,3,SLV
1081,6.2166061010848646,4.836281906951478,1,2,3,2,SLV
1097,3.828641396489095,2.505525936990736,0,4,5,1,SLV
1114,,1.8718021769015913,0,4,3,1,SLV
1115,,1.8718021769015913,0,3,3,1,SLV
1119,1.8085223504548795,3.457892725338701,0,2,2,3,HND
1121,3.1762360333222612,4.715816706075155,0,2,2,1,HND
1123,,1.041453874710514,0,1,2,2,HND
1133,5.5254529391317835,3.4735180432417816,0,2,2,2,SLV
1154,2.681281768821499,3.868220382829455,1,2,2,2,HND
1157,,1.3217558399823195,0,2,4,2,SLV
1164,5.707110264748875,3.9318256327243257,1,2,2,2,SLV
1180,3.9318256327243257,2.8716796250726913,0,3,5,1,SLV
1196,5.303304908059076,3.713572066704308,0,3,2,1,SLV
1211,,1.3217558399823195,1,3,5,1,SLV
1216,4.795790545596741,3.4339872044851463,0,3,5,2,SLV
1229,0.9934276834630583,2.4203681286504293,0,4,5,1,HND
